,0,1,2
55,"(equal in length to the Tropic of Cancer) or around 23,000 miles - some of the major cities Fossett will pass along the way:  Chicago, Toronto, London, Paris, Rome, Cairo, Bahrain, Karachi,  Calcutta, Shanghai, Tokyo, Honolulu and Los Angeles.","Some of the major cities Fossett expects to pass along the way  are Chicago, Toronto, London, Paris, Rome, Cairo, Bahrain, Karachi,  Calcutta, Shanghai, Tokyo, Honolulu and Los Angeles.",0.9850960373878479
41,"Prince Charles is to marry his partner Camilla Parker Bowles, the prince's office said Thursday.","Prince Charles' sons William and Harry are ""delighted"" at news he will marry Camilla Parker Bowles, a spokesman for the heir to the throne's office said Thursday.",0.9727075099945068
53,"Steven P. Jobs is preparing to take an unprecedented gamble by abandoning Apple Computer's 14-year commitment to chips developed by IBM and Motorola in favor of Intel processors for his Macintosh computers, industry executives informed of the decision said Sunday.","Apple CEO Steve Jobs is expected to announce Monday morning at the company's software developers conference in San Francisco that Apple will discontinue using microprocessor chips made by IBM in favor of Intel chips, according to CNET Networks Inc.'s News.com and The Wall Street Journal.",0.9713016152381897
50,"Even before Merck pulled Vioxx from the market on Sept. 30, citing what it said was new evidence that the drug increased the risk of heart attacks, strokes and other serious ailments, hundreds of patients had filed lawsuits around the country.","Some lawyers, including those who had filed suits against Merck before the Vioxx withdrawal, said that they already had plenty of evidence of the drug's dangers before last week's announcement.",0.9696301221847534
96,"Ripudaman Singh Malik, a 57-year-old millionaire, and Ajaib Singh Bagri, 55, are charged with planting bombs that exploded June 23, 1985, aboard Flight 182, killing 329 people, and 53 minutes earlier at Tokyo's Narita Airport, killing two baggage handlers.","Malik and Bagri, who have been in custody since their arrest in late 2000, are also charged in connection with a blast on the same June day that killed two baggage handlers at Tokyo's Narita Airport.",0.9690276384353638
44,"The singer formerly known as Cat Stevens, now Yusuf Islam, is trying to get off the no-fly list after he was removed from a London-to-Washington flight because the list said he had links to terrorists.","Ask Loeffler and his bandmates/siblings Sam and Pete to list the music that influenced the band's sound, and they'll list Helmet, Tool, Sinead O'Connor and Yusuf Islam -- the artist once known as Cat Stevens and most recently in the news as being on the United State's no-fly list for alleged ties to terrorism, an accusation the artist vehemently denies.",0.9688841700553894
36,"On Sunday, the cardinals moved into the super-secure Domus Sanctae Marthae, a euro26 million (US$20 million) hotel that John Paul had constructed inside Vatican City so they could rest in comfort in private rooms between voting sessions.","And the 115 cardinal-electors - those under age 80 - Sunday left apartments and hotels and seminaries around Rome and moved into the Domus Sanctae Marthae, the $20 million residence where they will stay while participating in the conclave that begins Monday.",0.9675966501235962
45,"Critics says among the law's more controversial powers is the FBI's ability to obtain library and bookstore records in terrorism cases, and so-called ""sneak and peek"" search warrants in which agents need not immediately tell suspects their home or business had been searched.","The group wants the section giving access to library, medical and firearm-ownership records modified to require that law enforcement officials present evidence to a federal judge supporting a link with suspected terrorism before warrants are served.",0.9665327072143555
13,"Nepal's King Gyanendra named a new Cabinet Wednesday, a day after dismissing the government and declaring absolute power in a surprise move that he said was aimed at restoring democracy and ending a nine-year Maoist rebellion.","The United States said Tuesday it was  ""deeply troubled"" by an apparent setback to democracy in Nepal,  where King Gyanendra has dismissed the government and imposed a  state of emergency.",0.9663679599761963
43,"The singer once known as Cat Stevens, now a peace activist whose name was on a U.S. list of people suspected of having terrorist links, will receive a peace prize from a foundation headed by former Soviet leader Mikhail Gorbachev, organizers said Monday.","Ask Loeffler and his bandmates/siblings Sam and Pete to list the music that influenced the band's sound, and they'll list Helmet, Tool, Sinead O'Connor and Yusuf Islam -- the artist once known as Cat Stevens and most recently in the news as being on the United State's no-fly list for alleged ties to terrorism, an accusation the artist vehemently denies.",0.9662365913391113
