,0,1,2
33,"Chess legend Bobby Fischer, who faces  prison if he returns to the United States, can only avoid  deportation from Japan if Iceland upgrades its granting of residency  to full citizenship, a Japanese lawmaker said Wednesday.","Chess genius Bobby Fischer, now in a Japanese detention cell awaiting deportation to the United States, will be allowed to leave Japan for Iceland if that country grants him citizenship, an opposition party leader said Wednesday.",0.9694324731826782
82,"A man intent on committing suicide left his car on a railroad track in Glendale near downtown Los Angeles Wednesday, where it set off a collision that derailed two commuter trains, killing at least 10 people and injuring nearly 200, authorities said.","At least 10 people were killed and more than 180 injured Wednesday when a commuter train derailed after crashing into a car parked on tracks north of Los Angeles, then sideswiped an oncoming train, knocking it off its rails.",0.9644798636436462
24,"He made this remark when asked to comment on Nepal's King  Gyanendra's Tuesday announcement of dissolving the coalition  government led by Prime Minister Sher Bahadur Deuba and forming a  new government under his own ""chairmanship"".","Nepal's King Gyanendra named a new Cabinet Wednesday, a day after dismissing the government and declaring absolute power in a surprise move that he said was aimed at restoring democracy and ending a nine-year Maoist rebellion.",0.9578592777252197
42,"Jill Carroll, 28, a freelance reporter working for the Christian  Science Monitor, was seized by gunmen on Saturday after calling by  the office of a prominent Sunni politician, the US newspaper  confirmed on Monday.","The Christian Science Monitor  newspaper on Monday pleaded for the release of American reporter  Jill Carroll, seized in Baghdad by abductors who gunned down her  Iraqi translator.",0.9522151947021484
50,"Investigators took DNA from pop star Michael Jackson's mouth Saturday, a day after raiding his Neverland Ranch to prepare for his trial on child molestation charges, a family source said Sunday.","Police and investigators probing child molestation charges against superstar Michael Jackson on Friday launched a fresh search on his famed Neverland Ranch, detectives said.",0.952185332775116
29,"Northern Ireland's peace process would  receive a major boost if the Irish Republican Army responds  positively to appeals to embrace political methods, a leading figure  in the paramilitary group's political wing said Friday.","Northern Ireland's 7-year-old peace accord will eventually work but requires the Irish Republican Army to deliver a ""clear and decisive"" end to all its activities, Irish Prime Minister Bertie Ahern said Friday.",0.9520202279090881
37,"A granite monument of the Ten Commandments outside the Texas Capitol amounts to an unconstitutional government endorsement of religion, a lawyer favoring a high wall between church and state told the Supreme Court on Wednesday.","The Ten Commandments monument on the Texas Capitol grounds should remain because it is a cultural and historical symbol that does not violate the separation of church and state, Texas Attorney General Greg Abbott told the U.S. Supreme Court Wednesday.",0.9517563581466675
84,"A southbound commuter train heading to downtown Los Angeles hit the Jeep Grand Cherokee parked on the tracks, said Glendale Police Chief Randy G. Adams.","Glendale police said that Juan Manuel Alvarez, 25, of the Los Angeles suburb of Compton, drove around barriers at a grade crossing and then up the Metrolink commuter rail tracks, where his Jeep Grand Cherokee became wedged between the rails.",0.9497280716896057
59,"Even before Merck pulled Vioxx from the market on Sept. 30, citing what it said was new evidence that the drug increased the risk of heart attacks, strokes and other serious ailments, hundreds of patients had filed lawsuits around the country.","Some lawyers, including those who had filed suits against Merck before the Vioxx withdrawal, said that they already had plenty of evidence of the drug's dangers before last week's announcement.",0.9486150145530701
77,"The 13 main Palestinian factions held an emergency meeting Tuesday to discuss arrangements to follow an official announcement that Palestinian leader Yasser Arafat has died, an Islamic Jihad leader said.","Arafat's deputy in the Palestine Liberation Organization, Mahmoud Abbas, and Palestinian prime minister, Ahmed Qurei, were asked by the Fatah central committee on Sunday to speak directly to Arafat's doctors, Nabil Shaath, a Palestinian minister, said Sunday evening.",0.9466230273246765
58,"Even before Merck pulled Vioxx from the market on Sept. 30, citing what it said was new evidence that the drug increased the risk of heart attacks, strokes and other serious ailments, hundreds of patients had filed lawsuits around the country.","Merck announced a global withdrawal Thursday of Vioxx, a blockbuster arthritis drug, after a study showed it increased the risk of strokes and heart attacks.",0.9457573890686035
70,"A new report from the CIA says the arms trafficking network led by the Pakistani scientist A.Q. Khan provided Iran's nuclear program with ""significant assistance,"" including the designs for ""advanced and efficient"" weapons components.","This disjunction has helped to keep many questions about the network unanswered, including whether the Pakistani military was involved in the black market and what other countries, or nonstate groups, beyond Libya, Iran and North Korea, received what one Bush administration official called Khan's ""nuclear starter kit"" -- everything from centrifuge designs to raw uranium fuel to the blueprints for the bomb.",0.9447503685951233
93,"The enacting of an anti-secession law by Beijing will diminish cross-Taiwan Strait exchanges and thus will be harmful to the development of bilateral ties, a scholar said Monday.","He said the government sent six delegations to the United States, Japan and EU countries last year to brief officials, academics and opinion leaders on the adverse impact on cross-strait relations of Beijing's planned anti-secession law, which targets Taiwan.",0.9439342617988586
